epoch,accuracy,f1_macro,learning_rate,loss,val_accuracy,val_f1_macro,val_loss
0,0.46850284934043884,0.4684508866102594,4.999999873689376e-05,1.1194977760314941,0.25068119168281555,0.1336238198983297,1.2603554725646973
1,0.5842424035072327,0.5834937262924513,4.999999873689376e-05,0.9916404485702515,0.25885558128356934,0.15153430640156304,1.369766354560852
2,0.6363636255264282,0.634955745322617,4.999999873689376e-05,0.9198068976402283,0.5694822669029236,0.49167332770038813,1.010096788406372
3,0.6772727370262146,0.677426170771055,4.999999873689376e-05,0.8628941774368286,0.7493187785148621,0.7341959562857663,0.798991858959198
4,0.6981818079948425,0.6958491673783364,4.999999873689376e-05,0.8393906354904175,0.8610354065895081,0.8616700341202174,0.6131548881530762
5,0.7224242687225342,0.7202378980020837,4.999999873689376e-05,0.8048275709152222,0.8719345927238464,0.8711447184196267,0.5667101144790649
6,0.7472727298736572,0.7452409333202104,4.999999873689376e-05,0.7636697292327881,0.8474114537239075,0.8490959754895541,0.5884894728660583
7,0.7672727108001709,0.7651132120241613,4.999999873689376e-05,0.7393743991851807,0.8991825580596924,0.8997909472748354,0.5295244455337524
8,0.7924242615699768,0.7911508684966179,4.999999873689376e-05,0.6968631148338318,0.9318801164627075,0.9341796294921295,0.47783276438713074
9,0.8042424321174622,0.802880979054831,4.999999873689376e-05,0.6768876314163208,0.9427793025970459,0.9453754478321268,0.45547962188720703
10,0.8233333230018616,0.8216448784937861,4.999999873689376e-05,0.6579978466033936,0.9482288956642151,0.9517285007886511,0.45893606543540955
11,0.8360605835914612,0.8352563663504858,4.999999873689376e-05,0.6366631388664246,0.9455040693283081,0.9480191135094705,0.4446687698364258
12,0.8351514935493469,0.8332894907675582,4.999999873689376e-05,0.6271432638168335,0.9536784887313843,0.9551676182110964,0.43684548139572144
13,0.8600000143051147,0.8573802019781063,4.999999873689376e-05,0.6024484038352966,0.9645776748657227,0.9672645234649923,0.42136451601982117
