,precision,recall,f1-score,support
Early_Blight,0.9741935483870968,0.9320987654320988,0.9526813880126183,162.0
Healthy,0.9351851851851852,0.9901960784313726,0.9619047619047619,102.0
Late_Blight,0.9577464788732394,0.9645390070921985,0.9611307420494699,141.0
accuracy,0.9580246913580247,0.9580246913580247,0.9580246913580247,0.9580246913580247
macro avg,0.9557084041485071,0.9622779503185567,0.9585722973222834,405.0
weighted avg,0.9586432030832723,0.9580246913580247,0.9579459387686546,405.0
